id,title,genres,description,year
23,The Green Mile Odyssey 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 3 of an extended cinematic universe with new characters and plot twists.,2002
24,La La Land Rebirth 8,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 1 of an extended cinematic universe with new characters and plot twists.,2014
25,The Green Mile Chronicles 1,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 3 of an extended cinematic universe with new characters and plot twists.,2008
26,Interstellar Saga 2,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 3 of an extended cinematic universe with new characters and plot twists.,2023
27,The Social Network Uprising 4,Drama,The founding of Facebook and its legal battles. This is part 2 of an extended cinematic universe with new characters and plot twists.,2003
28,Interstellar Returns 1,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 8 of an extended cinematic universe with new characters and plot twists.,1976
29,Inception Eclipse 3,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 3 of an extended cinematic universe with new characters and plot twists.,1977
30,Inception Genesis 8,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 1 of an extended cinematic universe with new characters and plot twists.,1991
31,The Green Mile Saga 6,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 2 of an extended cinematic universe with new characters and plot twists.,1988
32,The Shawshank Redemption Rebirth 6,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 6 of an extended cinematic universe with new characters and plot twists.",1971
33,The Green Mile Chronicles 3,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 8 of an extended cinematic universe with new characters and plot twists.,1989
34,Inception Odyssey 6,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 5 of an extended cinematic universe with new characters and plot twists.,1970
35,Parasite Genesis 3,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 8 of an extended cinematic universe with new characters and plot twists.,1975
36,The Matrix Rebirth 9,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 7 of an extended cinematic universe with new characters and plot twists.,1999
37,La La Land Genesis 2,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 6 of an extended cinematic universe with new characters and plot twists.,1974
38,Parasite Eclipse 2,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 6 of an extended cinematic universe with new characters and plot twists.,2017
39,Interstellar Reimagined 1,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 5 of an extended cinematic universe with new characters and plot twists.,1997
40,Parasite Eclipse 7,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 1 of an extended cinematic universe with new characters and plot twists.,2003
41,Interstellar Uprising 8,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 9 of an extended cinematic universe with new characters and plot twists.,2009
42,Parasite Chronicles 5,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 2 of an extended cinematic universe with new characters and plot twists.,1995
43,Inception Legacy 9,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 4 of an extended cinematic universe with new characters and plot twists.,1982
44,Parasite Chronicles 1,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 7 of an extended cinematic universe with new characters and plot twists.,1995
45,Inception Eclipse 6,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 4 of an extended cinematic universe with new characters and plot twists.,1990
46,The Godfather Genesis 4,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,1986
47,The Godfather Saga 7,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 6 of an extended cinematic universe with new characters and plot twists.,2013
48,Inside Out Odyssey 3,Animation|Family,Emotions guide a young girl's life during a big move. This is part 8 of an extended cinematic universe with new characters and plot twists.,2020
49,The Shawshank Redemption Genesis 7,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 3 of an extended cinematic universe with new characters and plot twists.",1996
50,The Social Network Uprising 5,Drama,The founding of Facebook and its legal battles. This is part 4 of an extended cinematic universe with new characters and plot twists.,2006
51,The Green Mile Reimagined 6,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,2019
52,The Matrix Genesis 3,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 3 of an extended cinematic universe with new characters and plot twists.,1986
53,The Matrix Reimagined 5,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 1 of an extended cinematic universe with new characters and plot twists.,2009
54,Inside Out Chronicles 9,Animation|Family,Emotions guide a young girl's life during a big move. This is part 7 of an extended cinematic universe with new characters and plot twists.,1975
55,The Godfather Returns 3,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 4 of an extended cinematic universe with new characters and plot twists.,2022
56,The Green Mile Saga 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 9 of an extended cinematic universe with new characters and plot twists.,1987
57,The Social Network Odyssey 4,Drama,The founding of Facebook and its legal battles. This is part 8 of an extended cinematic universe with new characters and plot twists.,2020
58,La La Land Odyssey 4,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 3 of an extended cinematic universe with new characters and plot twists.,2015
59,The Social Network Uprising 9,Drama,The founding of Facebook and its legal battles. This is part 2 of an extended cinematic universe with new characters and plot twists.,1997
60,La La Land Reimagined 4,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 2 of an extended cinematic universe with new characters and plot twists.,1983
61,Inside Out Saga 3,Animation|Family,Emotions guide a young girl's life during a big move. This is part 5 of an extended cinematic universe with new characters and plot twists.,1971
62,The Social Network Rebirth 7,Drama,The founding of Facebook and its legal battles. This is part 1 of an extended cinematic universe with new characters and plot twists.,2020
63,Interstellar Chronicles 7,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 9 of an extended cinematic universe with new characters and plot twists.,2003
64,Inside Out Uprising 1,Animation|Family,Emotions guide a young girl's life during a big move. This is part 3 of an extended cinematic universe with new characters and plot twists.,2017
65,Parasite Genesis 2,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 6 of an extended cinematic universe with new characters and plot twists.,1980
66,The Social Network Chronicles 8,Drama,The founding of Facebook and its legal battles. This is part 1 of an extended cinematic universe with new characters and plot twists.,1978
67,The Green Mile Chronicles 6,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 2 of an extended cinematic universe with new characters and plot twists.,2010
68,The Social Network Saga 7,Drama,The founding of Facebook and its legal battles. This is part 5 of an extended cinematic universe with new characters and plot twists.,1980
69,La La Land Returns 1,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 3 of an extended cinematic universe with new characters and plot twists.,2010
70,The Green Mile Rebirth 9,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 1 of an extended cinematic universe with new characters and plot twists.,2015
71,The Matrix Legacy 7,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 6 of an extended cinematic universe with new characters and plot twists.,2019
72,Inception Reimagined 2,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 8 of an extended cinematic universe with new characters and plot twists.,2004
73,The Matrix Uprising 2,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1980
74,The Social Network Chronicles 2,Drama,The founding of Facebook and its legal battles. This is part 3 of an extended cinematic universe with new characters and plot twists.,2017
75,Inside Out Uprising 8,Animation|Family,Emotions guide a young girl's life during a big move. This is part 9 of an extended cinematic universe with new characters and plot twists.,1993
76,The Green Mile Uprising 5,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 4 of an extended cinematic universe with new characters and plot twists.,1986
77,The Green Mile Reimagined 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 8 of an extended cinematic universe with new characters and plot twists.,1987
78,The Matrix Saga 1,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1994
79,The Godfather Rebirth 1,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 8 of an extended cinematic universe with new characters and plot twists.,1997
80,The Green Mile Chronicles 6,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,1977
81,Parasite Returns 1,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 2 of an extended cinematic universe with new characters and plot twists.,2022
82,The Godfather Rebirth 5,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 8 of an extended cinematic universe with new characters and plot twists.,2003
83,The Godfather Genesis 2,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 1 of an extended cinematic universe with new characters and plot twists.,1990
84,Interstellar Uprising 2,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 6 of an extended cinematic universe with new characters and plot twists.,2014
85,Interstellar Chronicles 2,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 7 of an extended cinematic universe with new characters and plot twists.,2006
86,Interstellar Reimagined 5,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 6 of an extended cinematic universe with new characters and plot twists.,2001
87,Inception Rebirth 3,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 8 of an extended cinematic universe with new characters and plot twists.,1995
88,The Green Mile Odyssey 8,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,2005
89,The Green Mile Reimagined 9,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 2 of an extended cinematic universe with new characters and plot twists.,1987
90,The Matrix Eclipse 2,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 1 of an extended cinematic universe with new characters and plot twists.,1970
91,Interstellar Saga 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 4 of an extended cinematic universe with new characters and plot twists.,2023
92,The Shawshank Redemption Chronicles 8,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 8 of an extended cinematic universe with new characters and plot twists.",1984
93,The Social Network Genesis 9,Drama,The founding of Facebook and its legal battles. This is part 7 of an extended cinematic universe with new characters and plot twists.,1979
94,The Godfather Returns 7,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,2011
95,Inside Out Legacy 4,Animation|Family,Emotions guide a young girl's life during a big move. This is part 1 of an extended cinematic universe with new characters and plot twists.,2023
96,Inside Out Legacy 1,Animation|Family,Emotions guide a young girl's life during a big move. This is part 6 of an extended cinematic universe with new characters and plot twists.,1972
97,Inception Saga 6,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 8 of an extended cinematic universe with new characters and plot twists.,1971
98,Inside Out Uprising 3,Animation|Family,Emotions guide a young girl's life during a big move. This is part 4 of an extended cinematic universe with new characters and plot twists.,1978
99,The Matrix Eclipse 4,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 3 of an extended cinematic universe with new characters and plot twists.,1999
100,The Godfather Uprising 8,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,1996
101,The Social Network Rebirth 7,Drama,The founding of Facebook and its legal battles. This is part 1 of an extended cinematic universe with new characters and plot twists.,1971
102,The Social Network Returns 3,Drama,The founding of Facebook and its legal battles. This is part 3 of an extended cinematic universe with new characters and plot twists.,2011
103,Inception Uprising 2,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 2 of an extended cinematic universe with new characters and plot twists.,2020
104,The Shawshank Redemption Reimagined 6,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 3 of an extended cinematic universe with new characters and plot twists.",1993
105,Interstellar Uprising 7,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 9 of an extended cinematic universe with new characters and plot twists.,1990
106,The Green Mile Odyssey 3,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 3 of an extended cinematic universe with new characters and plot twists.,2025
107,Interstellar Returns 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 9 of an extended cinematic universe with new characters and plot twists.,2012
108,The Godfather Saga 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 2 of an extended cinematic universe with new characters and plot twists.,1982
109,Inception Genesis 9,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 6 of an extended cinematic universe with new characters and plot twists.,2011
110,The Godfather Genesis 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 5 of an extended cinematic universe with new characters and plot twists.,1980
111,Parasite Odyssey 5,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 7 of an extended cinematic universe with new characters and plot twists.,1991
112,The Matrix Genesis 7,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1993
113,The Godfather Genesis 3,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,2012
114,Inception Returns 1,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 7 of an extended cinematic universe with new characters and plot twists.,1989
115,The Godfather Returns 7,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 6 of an extended cinematic universe with new characters and plot twists.,1998
116,The Matrix Reimagined 2,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 7 of an extended cinematic universe with new characters and plot twists.,1990
117,Interstellar Odyssey 6,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 6 of an extended cinematic universe with new characters and plot twists.,2007
118,The Godfather Eclipse 1,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 1 of an extended cinematic universe with new characters and plot twists.,1994
119,Interstellar Saga 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 3 of an extended cinematic universe with new characters and plot twists.,2007
120,Parasite Chronicles 3,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 7 of an extended cinematic universe with new characters and plot twists.,2014
121,The Godfather Returns 5,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 2 of an extended cinematic universe with new characters and plot twists.,1986
122,The Green Mile Reimagined 8,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 3 of an extended cinematic universe with new characters and plot twists.,1991
123,The Godfather Reimagined 2,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 6 of an extended cinematic universe with new characters and plot twists.,2017
124,Interstellar Chronicles 7,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 4 of an extended cinematic universe with new characters and plot twists.,2022
125,La La Land Eclipse 9,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 7 of an extended cinematic universe with new characters and plot twists.,1996
126,The Shawshank Redemption Saga 6,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 9 of an extended cinematic universe with new characters and plot twists.",2017
127,Inside Out Eclipse 2,Animation|Family,Emotions guide a young girl's life during a big move. This is part 2 of an extended cinematic universe with new characters and plot twists.,2020
128,Inception Rebirth 6,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 2 of an extended cinematic universe with new characters and plot twists.,1989
129,Parasite Eclipse 1,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 2 of an extended cinematic universe with new characters and plot twists.,1990
130,Inside Out Genesis 1,Animation|Family,Emotions guide a young girl's life during a big move. This is part 5 of an extended cinematic universe with new characters and plot twists.,1991
131,Inception Returns 8,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 8 of an extended cinematic universe with new characters and plot twists.,1995
132,The Social Network Uprising 5,Drama,The founding of Facebook and its legal battles. This is part 3 of an extended cinematic universe with new characters and plot twists.,1999
133,The Green Mile Genesis 4,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,1994
134,Interstellar Eclipse 7,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 7 of an extended cinematic universe with new characters and plot twists.,2013
135,Interstellar Returns 7,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 6 of an extended cinematic universe with new characters and plot twists.,2007
136,The Green Mile Odyssey 2,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,2002
137,The Green Mile Genesis 4,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 4 of an extended cinematic universe with new characters and plot twists.,1993
138,Inside Out Reimagined 3,Animation|Family,Emotions guide a young girl's life during a big move. This is part 4 of an extended cinematic universe with new characters and plot twists.,2008
139,Interstellar Uprising 4,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 3 of an extended cinematic universe with new characters and plot twists.,2002
140,The Social Network Odyssey 7,Drama,The founding of Facebook and its legal battles. This is part 4 of an extended cinematic universe with new characters and plot twists.,1972
141,Parasite Chronicles 4,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 4 of an extended cinematic universe with new characters and plot twists.,1976
142,The Green Mile Eclipse 4,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 9 of an extended cinematic universe with new characters and plot twists.,1997
143,The Godfather Saga 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 5 of an extended cinematic universe with new characters and plot twists.,1976
144,The Matrix Genesis 7,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,2018
145,Parasite Reimagined 6,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 9 of an extended cinematic universe with new characters and plot twists.,2010
146,Interstellar Odyssey 5,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 6 of an extended cinematic universe with new characters and plot twists.,1976
147,Parasite Genesis 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 4 of an extended cinematic universe with new characters and plot twists.,2012
148,The Green Mile Saga 3,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,2002
149,The Shawshank Redemption Odyssey 7,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 8 of an extended cinematic universe with new characters and plot twists.",2015
150,Parasite Chronicles 2,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 5 of an extended cinematic universe with new characters and plot twists.,1973
151,The Green Mile Chronicles 6,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 2 of an extended cinematic universe with new characters and plot twists.,2005
152,Parasite Odyssey 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 9 of an extended cinematic universe with new characters and plot twists.,2014
153,Interstellar Odyssey 9,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 6 of an extended cinematic universe with new characters and plot twists.,2009
154,Parasite Uprising 3,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 5 of an extended cinematic universe with new characters and plot twists.,2019
155,Inception Legacy 4,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 5 of an extended cinematic universe with new characters and plot twists.,2015
156,Parasite Uprising 7,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 5 of an extended cinematic universe with new characters and plot twists.,2023
157,The Shawshank Redemption Chronicles 3,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 1 of an extended cinematic universe with new characters and plot twists.",2011
158,Inception Reimagined 9,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 5 of an extended cinematic universe with new characters and plot twists.,1984
159,Inside Out Odyssey 2,Animation|Family,Emotions guide a young girl's life during a big move. This is part 4 of an extended cinematic universe with new characters and plot twists.,2016
160,The Green Mile Odyssey 9,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 4 of an extended cinematic universe with new characters and plot twists.,1986
161,Inception Eclipse 9,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 7 of an extended cinematic universe with new characters and plot twists.,1992
162,The Godfather Rebirth 6,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 5 of an extended cinematic universe with new characters and plot twists.,1979
163,La La Land Uprising 6,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 8 of an extended cinematic universe with new characters and plot twists.,1990
164,La La Land Legacy 6,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 3 of an extended cinematic universe with new characters and plot twists.,2016
165,The Matrix Genesis 7,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 6 of an extended cinematic universe with new characters and plot twists.,2014
166,Interstellar Chronicles 1,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 3 of an extended cinematic universe with new characters and plot twists.,1984
167,Interstellar Odyssey 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 3 of an extended cinematic universe with new characters and plot twists.,2020
168,The Green Mile Odyssey 1,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,2002
169,Inside Out Eclipse 6,Animation|Family,Emotions guide a young girl's life during a big move. This is part 4 of an extended cinematic universe with new characters and plot twists.,2013
170,Interstellar Reimagined 6,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 4 of an extended cinematic universe with new characters and plot twists.,1983
171,Interstellar Rebirth 4,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 9 of an extended cinematic universe with new characters and plot twists.,1976
172,The Godfather Uprising 7,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 1 of an extended cinematic universe with new characters and plot twists.,2023
173,The Shawshank Redemption Returns 8,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 4 of an extended cinematic universe with new characters and plot twists.",1991
174,The Green Mile Genesis 1,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 8 of an extended cinematic universe with new characters and plot twists.,2017
175,The Green Mile Legacy 6,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 3 of an extended cinematic universe with new characters and plot twists.,1989
176,Parasite Uprising 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 6 of an extended cinematic universe with new characters and plot twists.,1980
177,Parasite Reimagined 9,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 4 of an extended cinematic universe with new characters and plot twists.,2005
178,La La Land Odyssey 2,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 6 of an extended cinematic universe with new characters and plot twists.,1989
179,The Shawshank Redemption Genesis 7,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 3 of an extended cinematic universe with new characters and plot twists.",2011
180,Parasite Odyssey 1,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 6 of an extended cinematic universe with new characters and plot twists.,1970
181,The Shawshank Redemption Chronicles 7,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 8 of an extended cinematic universe with new characters and plot twists.",2021
182,The Social Network Eclipse 9,Drama,The founding of Facebook and its legal battles. This is part 9 of an extended cinematic universe with new characters and plot twists.,2019
183,The Shawshank Redemption Eclipse 8,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 2 of an extended cinematic universe with new characters and plot twists.",2018
184,Parasite Eclipse 1,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 6 of an extended cinematic universe with new characters and plot twists.,2017
185,The Godfather Uprising 5,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 6 of an extended cinematic universe with new characters and plot twists.,1972
186,The Social Network Uprising 5,Drama,The founding of Facebook and its legal battles. This is part 6 of an extended cinematic universe with new characters and plot twists.,2006
187,Inception Chronicles 2,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 3 of an extended cinematic universe with new characters and plot twists.,2011
188,The Green Mile Saga 6,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 6 of an extended cinematic universe with new characters and plot twists.,1988
189,La La Land Saga 6,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 2 of an extended cinematic universe with new characters and plot twists.,1979
190,Inception Genesis 1,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 2 of an extended cinematic universe with new characters and plot twists.,2010
191,The Matrix Uprising 7,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 9 of an extended cinematic universe with new characters and plot twists.,1984
192,La La Land Genesis 5,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 7 of an extended cinematic universe with new characters and plot twists.,1997
